codigo,municipio,leitos_existentes,leitos_sus
354500,SALESOPOLIS,9,9
354510,SALMOURAO,0,0
354515,SALTINHO,0,0
354520,SALTO,116,116
354530,SALTO DE PIRAPORA,72,47
354540,SALTO GRANDE,34,22
354550,SANDOVALINA,0,0
354560,SANTA ADELIA,23,19
354570,SANTA ALBERTINA,0,0
354580,SANTA BARBARA D'OESTE,208,123
354600,SANTA BRANCA,0,0
354610,SANTA CLARA D'OESTE,0,0
354620,SANTA CRUZ DA CONCEICAO,0,0
354625,SANTA CRUZ DA ESPERANCA,0,0
354630,SANTA CRUZ DAS PALMEIRAS,34,25
354640,SANTA CRUZ DO RIO PARDO,96,55
354650,SANTA ERNESTINA,0,0
354660,SANTA FE DO SUL,81,58
354670,SANTA GERTRUDES,0,0
354680,SANTA ISABEL,50,36
354690,SANTA LUCIA,8,0
354700,SANTA MARIA DA SERRA,6,6
354710,SANTA MERCEDES,0,0
354720,SANTANA DA PONTE PENSA,0,0
354730,SANTANA DE PARNAIBA,70,70
354740,SANTA RITA D'OESTE,0,0
354750,SANTA RITA DO PASSA QUATRO,263,250
354760,SANTA ROSA DE VITERBO,32,19
354765,SANTA SALETE,0,0
354770,SANTO ANASTACIO,50,36
354780,SANTO ANDRE,1458,687
354790,SANTO ANTONIO DA ALEGRIA,9,9
354800,SANTO ANTONIO DE POSSE,0,0
354805,SANTO ANTONIO DO ARACANGUA,0,0
354810,SANTO ANTONIO DO JARDIM,0,0
354820,SANTO ANTONIO DO PINHAL,0,0
354830,SANTO EXPEDITO,0,0
354840,SANTOPOLIS DO AGUAPEI,0,0
354850,SANTOS,1780,712
354860,SAO BENTO DO SAPUCAI,40,26
354870,SAO BERNARDO DO CAMPO,1794,704
354880,SAO CAETANO DO SUL,873,264
354890,SAO CARLOS,399,218
354900,SAO FRANCISCO,0,0
354910,SAO JOAO DA BOA VISTA,201,92
354920,SAO JOAO DAS DUAS PONTES,0,0
354925,SAO JOAO DE IRACEMA,0,0
354930,SAO JOAO DO PAU D'ALHO,0,0
354940,SAO JOAQUIM DA BARRA,103,73
354950,SAO JOSE DA BELA VISTA,0,0
354960,SAO JOSE DO BARREIRO,0,0
354970,SAO JOSE DO RIO PARDO,141,79
354980,SAO JOSE DO RIO PRETO,2420,1161
354990,SAO JOSE DOS CAMPOS,1600,789
354995,SAO LOURENCO DA SERRA,60,0
355000,SAO LUIS DO PARAITINGA,25,16
355010,SAO MANUEL,58,42
355020,SAO MIGUEL ARCANJO,79,79
355030,SAO PAULO,30990,15485
355040,SAO PEDRO,64,54
355050,SAO PEDRO DO TURVO,0,0
355060,SAO ROQUE,222,62
355070,SAO SEBASTIAO,102,102
355080,SAO SEBASTIAO DA GRAMA,30,26
355090,SAO SIMAO,34,33
355100,SAO VICENTE,257,191
355110,SARAPUI,0,0
355120,SARUTAIA,0,0
355130,SEBASTIANOPOLIS DO SUL,0,0
355140,SERRA AZUL,0,0
355150,SERRANA,84,82
355160,SERRA NEGRA,49,33
355170,SERTAOZINHO,130,59
355180,SETE BARRAS,0,0
355190,SEVERINIA,0,0
355200,SILVEIRAS,2,2
355210,SOCORRO,106,49
355220,SOROCABA,1757,980
355230,SUD MENNUCCI,22,20
355240,SUMARE,235,182
355250,SUZANO,334,181
355255,SUZANAPOLIS,0,0
355260,TABAPUA,30,11
355270,TABATINGA,35,22
355280,TABOAO DA SERRA,532,328
355290,TACIBA,0,0
355300,TAGUAI,29,24
355310,TAIACU,0,0
355320,TAIUVA,0,0
355330,TAMBAU,36,27
355340,TANABI,72,30
355350,TAPIRAI,0,0
355360,TAPIRATIBA,15,15
355365,TAQUARAL,0,0
355370,TAQUARITINGA,115,69
355380,TAQUARITUBA,47,32
355385,TAQUARIVAI,60,0
355390,TARABAI,0,0
355395,TARUMA,0,0
355400,TATUI,204,86
355410,TAUBATE,532,367
355420,TEJUPA,0,0
355430,TEODORO SAMPAIO,50,43
355440,TERRA ROXA,34,30
355450,TIETE,55,33
355460,TIMBURI,0,0
355465,TORRE DE PEDRA,0,0
355470,TORRINHA,20,13
355475,TRABIJU,0,0
355480,TREMEMBE,12,0
355490,TRES FRONTEIRAS,0,0
355495,TUIUTI,0,0
355500,TUPA,344,328
355510,TUPI PAULISTA,48,30
355520,TURIUBA,0,0
355530,TURMALINA,0,0
355535,UBARANA,0,0
355540,UBATUBA,86,81
355550,UBIRAJARA,0,0
355560,UCHOA,4,4
355570,UNIAO PAULISTA,0,0
355580,URANIA,26,24
355590,URU,0,0
355600,URUPES,29,14
355610,VALENTIM GENTIL,0,0
355620,VALINHOS,148,59
355630,VALPARAISO,50,32
355635,VARGEM,0,0
355640,VARGEM GRANDE DO SUL,54,35
355645,VARGEM GRANDE PAULISTA,113,2
355650,VARZEA PAULISTA,80,72
355660,VERA CRUZ,0,0
355670,VINHEDO,82,63
355680,VIRADOURO,23,20
355690,VISTA ALEGRE DO ALTO,0,0
355695,VITORIA BRASIL,0,0
355700,VOTORANTIM,162,64
355710,VOTUPORANGA,209,120
355715,ZACARIAS,0,0
355720,CHAVANTES,51,30
355730,ESTIVA GERBI,0,0
