codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao
353080,3530805,Mogi Mirim,Mogi Guaçu,Campinas,Campinas
353090,3530904,Mombuca,Piracicaba,Campinas,Piracicaba
353100,3531001,Monções,Araçatuba,Araçatuba,São José do Rio Preto
353110,3531100,Mongaguá,Santos,São Paulo,Litoral Sul Paulista
353120,3531209,Monte Alegre do Sul,Amparo,Campinas,Campinas
353130,3531308,Monte Alto,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
353140,3531407,Monte Aprazível,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353150,3531506,Monte Azul Paulista,Barretos,Ribeirão Preto,Ribeirão Preto
353160,3531605,Monte Castelo,Dracena,Presidente Prudente,Presidente Prudente
353170,3531704,Monteiro Lobato,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista
353180,3531803,Monte Mor,Campinas,Campinas,Campinas
353190,3531902,Morro Agudo,São Joaquim da Barra ¿ Orlândia,Ribeirão Preto,Ribeirão Preto
353200,3532009,Morungaba,Jundiaí,Campinas,Macro Metropolitana Paulista
353205,3532058,Motuca,Araraquara,Araraquara,Araraquara
353210,3532108,Murutinga do Sul,Andradina,Araçatuba,Araçatuba
353215,3532157,Nantes,Presidente Prudente,Presidente Prudente,Assis
353220,3532207,Narandiba,Presidente Prudente,Presidente Prudente,Presidente Prudente
353230,3532306,Natividade da Serra,Taubaté - Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista
353240,3532405,Nazaré Paulista,Bragança Paulista,Campinas,Macro Metropolitana Paulista
353250,3532504,Neves Paulista,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353260,3532603,Nhandeara,Votuporanga,São José do Rio Preto,São José do Rio Preto
353270,3532702,Nipoã,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353280,3532801,Nova Aliança,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
353282,3532827,Nova Campina,Itapeva,Sorocaba,Itapetininga
353284,3532843,Nova Canaã Paulista,Santa Fé do Sul,São José do Rio Preto,São José do Rio Preto
353286,3532868,Nova Castilho,Araçatuba,Araçatuba,São José do Rio Preto
353290,3532900,Nova Europa,Araraquara,Araraquara,Araraquara
