codigo,municipio,capitulo_cid10,internacoes
350600,BAURU,Cap 05,361.0
350600,BAURU,Cap 06,408.0
350600,BAURU,Cap 07,1267.0
350600,BAURU,Cap 08,442.0
350600,BAURU,Cap 09,5600.0
350600,BAURU,Cap 10,3169.0
350600,BAURU,Cap 11,4865.0
350600,BAURU,Cap 12,1154.0
350600,BAURU,Cap 13,1111.0
350600,BAURU,Cap 14,4925.0
350600,BAURU,Cap 15,4158.0
350600,BAURU,Cap 16,1376.0
350600,BAURU,Cap 17,1958.0
350600,BAURU,Cap 18,1110.0
350600,BAURU,Cap 19,6007.0
350600,BAURU,Cap 21,847.0
350610,BEBEDOURO,Cap 01,215.0
350610,BEBEDOURO,Cap 02,173.0
350610,BEBEDOURO,Cap 03,82.0
350610,BEBEDOURO,Cap 04,192.0
350610,BEBEDOURO,Cap 05,28.0
350610,BEBEDOURO,Cap 06,106.0
350610,BEBEDOURO,Cap 07,27.0
350610,BEBEDOURO,Cap 08,13.0
350610,BEBEDOURO,Cap 09,730.0
350610,BEBEDOURO,Cap 10,891.0
350610,BEBEDOURO,Cap 11,1564.0
350610,BEBEDOURO,Cap 12,148.0
350610,BEBEDOURO,Cap 13,490.0
350610,BEBEDOURO,Cap 14,960.0
350610,BEBEDOURO,Cap 15,767.0
350610,BEBEDOURO,Cap 16,173.0
350610,BEBEDOURO,Cap 17,42.0
350610,BEBEDOURO,Cap 18,382.0
350610,BEBEDOURO,Cap 19,951.0
350610,BEBEDOURO,Cap 21,513.0
350630,BERNARDINO DE CAMPOS,Cap 01,72.0
350630,BERNARDINO DE CAMPOS,Cap 02,18.0
350630,BERNARDINO DE CAMPOS,Cap 03,19.0
350630,BERNARDINO DE CAMPOS,Cap 04,27.0
350630,BERNARDINO DE CAMPOS,Cap 05,75.0
350630,BERNARDINO DE CAMPOS,Cap 06,14.0
350630,BERNARDINO DE CAMPOS,Cap 08,1.0
350630,BERNARDINO DE CAMPOS,Cap 09,87.0
350630,BERNARDINO DE CAMPOS,Cap 10,171.0
350630,BERNARDINO DE CAMPOS,Cap 11,83.0
350630,BERNARDINO DE CAMPOS,Cap 12,18.0
350630,BERNARDINO DE CAMPOS,Cap 13,20.0
350630,BERNARDINO DE CAMPOS,Cap 14,90.0
350630,BERNARDINO DE CAMPOS,Cap 15,1.0
350630,BERNARDINO DE CAMPOS,Cap 16,10.0
350630,BERNARDINO DE CAMPOS,Cap 18,5.0
350630,BERNARDINO DE CAMPOS,Cap 19,41.0
350635,BERTIOGA,Cap 01,185.0
350635,BERTIOGA,Cap 02,112.0
350635,BERTIOGA,Cap 03,72.0
350635,BERTIOGA,Cap 04,143.0
350635,BERTIOGA,Cap 05,186.0
350635,BERTIOGA,Cap 06,49.0
350635,BERTIOGA,Cap 07,169.0
350635,BERTIOGA,Cap 08,13.0
350635,BERTIOGA,Cap 09,422.0
350635,BERTIOGA,Cap 10,395.0
350635,BERTIOGA,Cap 11,174.0
350635,BERTIOGA,Cap 12,123.0
350635,BERTIOGA,Cap 13,86.0
350635,BERTIOGA,Cap 14,359.0
350635,BERTIOGA,Cap 15,516.0
350635,BERTIOGA,Cap 16,39.0
350635,BERTIOGA,Cap 17,7.0
350635,BERTIOGA,Cap 18,10.0
350635,BERTIOGA,Cap 19,444.0
350635,BERTIOGA,Cap 21,267.0
350640,BILAC,Cap 01,18.0
350640,BILAC,Cap 02,4.0
350640,BILAC,Cap 03,1.0
350640,BILAC,Cap 04,4.0
350640,BILAC,Cap 05,9.0
350640,BILAC,Cap 06,6.0
350640,BILAC,Cap 07,2.0
350640,BILAC,Cap 08,1.0
350640,BILAC,Cap 09,17.0
